film,filmLabel,locationLabel,boxOffice
http://www.wikidata.org/entity/Q181540,Квант милосердия,Комо,589580482
http://www.wikidata.org/entity/Q181540,Квант милосердия,Pinewood Studios,589580482
http://www.wikidata.org/entity/Q182218,Мстители,Нью-Йорк,623357910
http://www.wikidata.org/entity/Q182218,Мстители,Лос-Анджелес,623357910
http://www.wikidata.org/entity/Q182218,Мстители,Питтсбург,623357910
http://www.wikidata.org/entity/Q182218,Мстители,Нью-Мексико,623357910
http://www.wikidata.org/entity/Q182218,Мстители,Лонг-Айленд,623357910
http://www.wikidata.org/entity/Q183063,Шестое чувство,Филадельфия,672806292
http://www.wikidata.org/entity/Q188850,Мамма миа!,Lloyd's building,609896805
http://www.wikidata.org/entity/Q188850,Мамма миа!,Скопелос,609896805
http://www.wikidata.org/entity/Q188850,Мамма миа!,Бакингемшир,609896805
